DATA, AA, ACAP, AEXP, B, CPLX, DOCU, ETAT, FLEX, KLOC, LTEX, PCAP, PCON, PLEX, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-
4.687, 1.738, 2.831, 2.582, 9.584, 5.499, 3.048, 1.465, 4.867, 82.688, 3.02, 3.0, 2.529, 3.0, 2.235, 1.55, 1.288, 2.0, 5.0, 2.614, 3.664, 1.307, 3.0, 4.805, 2.274, 4.519, 2.817, 816.297, 20.256, 17659.834, 4.021
2.354, 4.849, 2.52, 2.536, 9.969, 5.472, 3.952, 1.032, 4.325, 123.196, 2.244, 3.0, 2.678, 3.0, 1.137, 3.924, 1.34, 2.0, 5.0, 1.84, 2.095, 2.955, 3.0, 3.607, 2.175, 4.729, 2.741, 768.763, 24.734, 11222.347, 2.413
2.512, 4.791, 2.191, 2.42, 4.225, 5.36, 2.961, 2.567, 4.526, 117.409, 3.379, 3.0, 2.827, 3.0, 2.025, 4.463, 1.227, 2.0, 5.0, 2.286, 3.807, 1.526, 3.0, 4.803, 2.247, 3.137, 2.909, 1063.326, 22.485, 8768.77, 4.021
4.957, 4.646, 2.047, 2.274, 6.199, 5.025, 3.458, 4.15, 2.092, 85.172, 3.489, 3.0, 2.033, 3.0, 2.533, 2.001, 1.768, 2.0, 5.0, 2.72, 2.417, 1.656, 3.0, 4.045, 2.77, 3.012, 2.929, 935.846, 21.633, 5808.432, 4.021
4.813, 5.931, 2.397, 2.82, 6.921, 5.86, 2.28, 4.746, 3.944, 114.926, 2.59, 3.0, 2.632, 3.0, 3.142, 1.391, 1.892, 2.0, 5.0, 1.305, 3.826, 2.481, 3.0, 4.04, 2.237, 5.267, 2.87, 1346.052, 28.365, 11041.403, 1.072
4.373, 1.003, 2.084, 2.011, 9.122, 5.43, 3.06, 4.898, 2.505, 75.671, 3.957, 3.0, 2.974, 3.0, 3.701, 5.584, 1.521, 2.0, 5.0, 2.928, 3.443, 2.242, 3.0, 4.026, 2.446, 3.594, 2.625, 612.8, 21.613, 2899.39, 1.072
4.789, 5.733, 2.79, 2.524, 7.729, 5.889, 3.585, 5.072, 4.109, 114.975, 2.006, 3.0, 2.543, 3.0, 3.436, 2.513, 1.157, 2.0, 5.0, 2.327, 2.918, 2.736, 3.0, 4.02, 2.182, 5.535, 2.558, 1657.525, 30.148, 7854.672, 1.072
3.541, 3.933, 2.484, 2.822, 9.927, 5.929, 2.956, 2.21, 4.914, 111.481, 3.917, 3.0, 2.483, 3.0, 2.09, 1.821, 1.975, 2.0, 5.0, 2.048, 2.727, 1.908, 3.0, 4.281, 2.838, 4.461, 2.437, 952.488, 21.397, 12343.377, 4.021
4.741, 1.176, 2.017, 2.926, 5.508, 5.64, 2.067, 5.832, 4.23, 94.523, 3.781, 3.0, 2.76, 3.0, 2.409, 3.022, 1.102, 2.0, 5.0, 2.052, 2.468, 3.0, 3.0, 3.924, 2.374, 3.434, 2.926, 639.985, 22.939, 5813.399, 1.072
4.166, 3.159, 2.173, 2.443, 3.064, 5.223, 2.454, 1.613, 2.38, 75.277, 2.097, 3.0, 2.885, 3.0, 1.447, 5.914, 1.996, 2.0, 5.0, 2.404, 2.816, 1.967, 3.0, 4.598, 2.387, 4.942, 2.612, 734.011, 20.542, 7456.201, 5.898
3.218, 3.435, 2.161, 2.111, 3.988, 5.902, 3.292, 1.99, 4.308, 77.472, 2.838, 3.0, 2.169, 3.0, 1.726, 4.92, 1.783, 2.0, 5.0, 1.035, 2.284, 1.977, 3.0, 3.996, 2.044, 4.731, 2.021, 868.032, 21.412, 11289.196, 5.898
3.954, 1.939, 2.703, 2.738, 5.31, 5.641, 3.237, 4.402, 2.622, 123.176, 2.232, 3.0, 2.328, 3.0, 3.665, 1.687, 1.67, 2.0, 5.0, 1.031, 2.496, 1.734, 3.0, 3.16, 2.146, 5.561, 2.233, 1403.371, 25.151, 18518.622, 4.021
3.837, 2.441, 2.199, 2.123, 4.176, 5.016, 3.977, 4.636, 3.944, 95.28, 3.848, 3.0, 2.67, 3.0, 3.154, 4.864, 1.616, 2.0, 5.0, 1.494, 3.321, 1.705, 3.0, 4.801, 2.159, 4.441, 2.69, 1313.685, 23.841, 6276.565, 3.485
4.699, 4.079, 2.171, 2.74, 4.931, 5.223, 3.721, 5.439, 4.009, 81.329, 2.39, 3.0, 2.589, 3.0, 1.458, 4.743, 1.757, 2.0, 5.0, 1.716, 2.114, 1.939, 3.0, 3.205, 2.317, 3.036, 2.087, 928.545, 22.565, 4396.023, 5.898
3.307, 2.866, 2.467, 2.863, 4.362, 5.16, 2.29, 2.837, 3.938, 86.02, 2.695, 3.0, 2.603, 3.0, 3.446, 4.71, 1.686, 2.0, 5.0, 1.614, 3.105, 2.778, 3.0, 3.573, 2.861, 5.164, 2.326, 577.908, 21.943, 6307.197, 1.072
3.121, 5.504, 2.197, 2.352, 8.246, 5.639, 2.664, 1.394, 3.139, 120.306, 2.076, 3.0, 2.342, 3.0, 2.437, 4.46, 1.606, 2.0, 5.0, 2.76, 2.305, 2.867, 3.0, 4.13, 2.338, 5.707, 2.083, 1545.521, 30.536, 11013.627, 1.072
4.695, 5.124, 2.852, 2.732, 8.812, 5.895, 3.334, 1.958, 4.734, 86.239, 2.465, 3.0, 2.138, 3.0, 1.009, 5.236, 1.003, 2.0, 5.0, 2.1, 2.036, 1.679, 3.0, 3.03, 2.24, 4.652, 2.161, 1046.957, 22.585, 8556.852, 5.898
3.676, 1.279, 2.098, 2.99, 3.299, 5.983, 3.488, 5.37, 4.448, 84.616, 3.867, 3.0, 2.899, 3.0, 2.233, 4.947, 1.617, 2.0, 5.0, 1.088, 3.563, 2.026, 3.0, 3.254, 2.973, 4.441, 2.917, 650.179, 22.566, 5020.317, 1.072
4.603, 3.153, 2.492, 2.846, 6.047, 5.256, 3.437, 1.839, 2.113, 124.823, 3.717, 3.0, 2.047, 3.0, 2.602, 2.882, 1.622, 2.0, 5.0, 2.409, 2.823, 2.029, 3.0, 3.125, 2.991, 4.844, 2.344, 1347.761, 28.246, 12521.596, 1.072
4.888, 5.516, 2.713, 2.256, 6.562, 5.215, 3.179, 2.197, 3.953, 77.596, 2.457, 3.0, 2.443, 3.0, 3.61, 3.435, 1.67, 2.0, 5.0, 2.768, 2.644, 2.184, 3.0, 3.773, 2.76, 5.904, 2.121, 818.752, 23.054, 6316.368, 1.072
3.915, 3.326, 2.626, 2.033, 9.373, 5.247, 2.982, 1.079, 4.893, 93.965, 2.923, 3.0, 2.302, 3.0, 1.938, 1.845, 1.256, 2.0, 5.0, 2.565, 2.986, 1.956, 3.0, 3.83, 2.859, 4.419, 2.341, 929.509, 21.411, 16518.947, 5.898
4.214, 5.534, 2.438, 2.489, 5.728, 5.482, 3.081, 4.584, 2.427, 101.538, 3.214, 3.0, 2.443, 3.0, 1.588, 3.392, 1.706, 2.0, 5.0, 1.477, 3.128, 2.146, 3.0, 4.986, 2.127, 4.822, 2.239, 1729.681, 31.191, 9284.505, 2.413
2.487, 1.934, 2.055, 2.484, 4.31, 5.955, 3.586, 2.183, 3.653, 79.239, 2.763, 3.0, 2.205, 3.0, 1.877, 4.907, 1.116, 2.0, 5.0, 1.038, 3.913, 2.004, 3.0, 4.408, 2.512, 5.49, 2.996, 941.828, 25.558, 14057.887, 2.413
3.443, 1.963, 2.959, 2.757, 4.877, 5.421, 3.367, 1.86, 3.726, 116.399, 2.071, 3.0, 2.683, 3.0, 1.88, 1.331, 1.265, 2.0, 5.0, 2.52, 3.236, 1.896, 3.0, 3.042, 2.914, 4.885, 2.556, 1301.608, 23.88, 20430.722, 5.898
4.853, 3.865, 2.801, 2.232, 5.6, 5.204, 3.335, 4.808, 4.426, 113.926, 3.571, 3.0, 2.022, 3.0, 3.889, 2.074, 1.41, 2.0, 5.0, 2.532, 2.36, 2.964, 3.0, 4.255, 2.335, 4.589, 2.196, 1191.629, 26.835, 6495.421, 1.072
3.954, 4.43, 2.059, 2.836, 9.199, 5.287, 3.715, 4.995, 3.703, 91.785, 3.534, 3.0, 2.752, 3.0, 3.619, 2.082, 1.987, 2.0, 5.0, 2.995, 2.985, 2.996, 3.0, 3.469, 2.877, 5.809, 2.561, 830.534, 23.853, 3822.104, 1.072
2.474, 3.215, 2.803, 2.532, 5.966, 5.43, 2.568, 4.534, 4.614, 80.28, 2.575, 3.0, 2.13, 3.0, 3.373, 4.65, 1.763, 2.0, 5.0, 1.474, 3.778, 1.324, 3.0, 3.758, 2.065, 4.246, 2.397, 999.465, 21.879, 6785.464, 4.021
3.147, 5.452, 2.631, 2.651, 7.78, 5.453, 3.194, 2.06, 2.718, 94.474, 2.012, 3.0, 2.556, 3.0, 2.258, 3.413, 1.64, 2.0, 5.0, 2.279, 2.972, 2.487, 3.0, 4.947, 2.925, 4.983, 2.3, 1359.466, 28.439, 9014.6, 1.072
3.849, 2.246, 2.686, 2.995, 8.7, 5.253, 2.314, 1.002, 3.216, 110.093, 2.469, 3.0, 2.529, 3.0, 2.002, 3.379, 1.615, 2.0, 5.0, 1.826, 3.533, 1.058, 3.0, 4.169, 2.212, 5.59, 2.725, 1742.736, 26.303, 24508.565, 4.558
3.506, 1.86, 2.116, 2.476, 5.237, 5.994, 2.853, 4.444, 2.355, 98.442, 2.584, 3.0, 2.858, 3.0, 1.387, 1.881, 1.714, 2.0, 5.0, 2.607, 3.986, 1.557, 3.0, 3.049, 2.658, 3.775, 2.787, 1628.95, 26.187, 13810.379, 5.898
4.427, 1.458, 2.311, 2.429, 7.268, 5.611, 3.72, 5.486, 4.881, 93.75, 3.287, 3.0, 2.634, 3.0, 1.414, 1.684, 1.891, 2.0, 5.0, 2.412, 2.164, 2.695, 3.0, 3.176, 2.866, 4.415, 2.299, 812.72, 23.861, 7883.848, 2.413
2.485, 3.37, 2.544, 2.35, 8.922, 5.232, 3.114, 5.206, 2.052, 90.147, 3.034, 3.0, 2.903, 3.0, 1.708, 3.868, 1.403, 2.0, 5.0, 2.448, 3.988, 2.317, 3.0, 3.717, 2.546, 4.083, 2.913, 822.4, 24.528, 5315.019, 2.413
4.713, 3.942, 2.713, 2.219, 6.16, 5.997, 3.094, 3.894, 3.409, 94.931, 2.303, 3.0, 2.671, 3.0, 2.353, 4.082, 1.488, 2.0, 5.0, 2.123, 2.176, 2.649, 3.0, 4.125, 2.236, 3.668, 2.899, 861.819, 24.858, 6693.086, 1.072
3.834, 5.256, 2.576, 2.464, 4.15, 5.023, 3.496, 2.772, 2.347, 94.009, 3.952, 3.0, 2.571, 3.0, 2.158, 1.793, 1.895, 2.0, 5.0, 2.47, 2.67, 2.228, 3.0, 3.458, 2.638, 5.525, 2.92, 1108.801, 26.878, 6639.467, 1.072
3.09, 4.156, 2.909, 2.312, 8.75, 5.973, 3.962, 5.42, 2.427, 122.02, 2.549, 3.0, 2.594, 3.0, 1.532, 5.797, 1.809, 2.0, 5.0, 2.854, 3.336, 1.838, 3.0, 4.062, 2.646, 3.696, 2.401, 1228.795, 24.352, 4759.891, 5.898
3.353, 3.818, 2.262, 2.283, 8.701, 5.766, 2.981, 1.149, 4.827, 116.038, 2.584, 3.0, 2.393, 3.0, 1.391, 1.176, 1.074, 2.0, 5.0, 2.011, 3.577, 1.066, 3.0, 3.655, 2.445, 5.331, 2.79, 1801.44, 26.327, 35687.159, 5.898
4.776, 5.614, 2.465, 2.639, 6.424, 5.235, 2.581, 1.403, 3.619, 109.354, 3.592, 3.0, 2.413, 3.0, 2.143, 2.371, 1.574, 2.0, 5.0, 2.923, 3.272, 1.029, 3.0, 4.924, 2.579, 3.869, 2.016, 1182.974, 22.426, 12680.55, 4.021
2.477, 2.79, 2.528, 2.399, 4.623, 5.968, 2.275, 5.888, 2.925, 97.504, 3.457, 3.0, 2.497, 3.0, 2.263, 4.729, 1.796, 2.0, 5.0, 2.326, 2.307, 2.493, 3.0, 3.504, 2.91, 5.66, 2.812, 768.825, 23.729, 4812.437, 1.072
4.154, 2.183, 2.026, 2.268, 8.028, 5.504, 2.535, 3.196, 4.46, 77.591, 2.252, 3.0, 2.819, 3.0, 3.621, 4.233, 1.732, 2.0, 5.0, 1.007, 3.611, 2.892, 3.0, 4.611, 2.898, 4.901, 2.589, 1179.029, 26.907, 8732.997, 1.072
2.633, 1.603, 2.045, 2.94, 6.278, 5.092, 3.806, 4.314, 3.263, 90.744, 3.603, 3.0, 2.022, 3.0, 2.683, 1.262, 1.348, 2.0, 5.0, 1.481, 2.121, 1.237, 3.0, 3.037, 2.602, 3.548, 2.797, 693.582, 19.851, 10128.006, 4.021
3.963, 4.374, 2.592, 2.486, 6.192, 5.648, 3.9, 2.497, 3.752, 86.728, 3.688, 3.0, 2.129, 3.0, 2.029, 3.958, 1.532, 2.0, 5.0, 1.41, 3.356, 1.704, 3.0, 4.451, 2.628, 3.284, 2.524, 1014.139, 22.861, 7762.891, 4.021
4.774, 5.18, 2.029, 2.269, 9.284, 5.042, 3.52, 2.966, 2.605, 112.887, 2.218, 3.0, 2.318, 3.0, 1.104, 3.462, 1.616, 2.0, 5.0, 2.07, 2.671, 1.018, 3.0, 4.825, 2.959, 4.751, 2.85, 1696.83, 26.778, 16157.501, 5.898
2.319, 5.638, 2.997, 2.056, 4.158, 5.385, 2.89, 3.125, 4.899, 88.86, 2.161, 3.0, 2.832, 3.0, 3.185, 4.471, 1.43, 2.0, 5.0, 1.414, 2.706, 2.196, 3.0, 3.07, 2.872, 5.799, 2.377, 1048.199, 25.662, 6048.76, 1.072
2.042, 2.805, 2.743, 2.297, 4.866, 5.715, 2.144, 2.879, 3.891, 79.584, 2.158, 3.0, 2.669, 3.0, 3.562, 3.588, 1.55, 2.0, 5.0, 2.887, 3.2, 1.435, 3.0, 4.157, 2.193, 5.39, 2.939, 906.594, 21.06, 8939.851, 4.021
2.114, 4.511, 2.723, 2.833, 7.94, 5.402, 3.12, 1.486, 4.277, 76.958, 3.708, 3.0, 2.847, 3.0, 2.476, 2.798, 1.732, 2.0, 5.0, 2.923, 2.891, 2.675, 3.0, 4.618, 2.338, 3.41, 2.052, 379.901, 19.164, 4486.973, 1.072
3.344, 1.734, 2.483, 2.093, 3.846, 5.205, 2.229, 5.194, 2.679, 101.112, 3.869, 3.0, 2.512, 3.0, 1.047, 4.282, 1.692, 2.0, 5.0, 2.725, 3.407, 1.949, 3.0, 4.012, 2.205, 5.088, 2.452, 817.237, 20.905, 8820.561, 5.362
3.395, 3.889, 2.063, 2.318, 9.664, 5.055, 3.509, 5.461, 2.087, 123.888, 2.624, 3.0, 2.52, 3.0, 2.763, 4.354, 1.403, 2.0, 5.0, 2.05, 2.931, 2.309, 3.0, 4.093, 2.303, 4.513, 2.727, 1342.541, 28.21, 7401.233, 1.072
3.67, 5.515, 2.67, 2.418, 7.939, 5.43, 3.667, 1.169, 3.828, 118.979, 2.909, 3.0, 2.879, 3.0, 1.407, 4.689, 1.265, 2.0, 5.0, 1.032, 3.896, 1.67, 3.0, 4.342, 2.265, 5.892, 2.848, 2179.271, 28.768, 15780.272, 5.898
4.098, 2.999, 2.866, 2.642, 9.139, 5.32, 2.336, 1.029, 4.384, 83.28, 3.403, 3.0, 2.252, 3.0, 2.85, 2.749, 1.758, 2.0, 5.0, 1.263, 2.935, 1.416, 3.0, 3.055, 2.753, 4.186, 2.651, 869.267, 21.017, 11569.523, 4.021
3.294, 2.316, 2.051, 2.577, 7.145, 5.059, 3.504, 2.203, 2.333, 98.59, 2.729, 3.0, 2.444, 3.0, 1.79, 2.311, 1.45, 2.0, 5.0, 1.278, 3.978, 2.332, 3.0, 3.645, 2.611, 3.782, 2.427, 1524.952, 30.473, 16545.996, 2.413
3.1, 3.399, 2.242, 2.738, 8.851, 5.922, 2.513, 4.37, 3.977, 114.027, 3.859, 3.0, 2.491, 3.0, 3.146, 2.834, 1.237, 2.0, 5.0, 1.656, 3.398, 2.87, 3.0, 4.875, 2.906, 5.23, 2.784, 1109.234, 26.438, 9355.994, 1.072
2.324, 3.463, 2.699, 2.931, 8.499, 5.09, 2.58, 4.576, 4.588, 116.199, 3.606, 3.0, 2.429, 3.0, 2.306, 1.987, 1.849, 2.0, 5.0, 1.734, 2.553, 1.609, 3.0, 4.543, 2.894, 4.03, 2.228, 815.149, 20.522, 9588.202, 4.021
3.284, 4.388, 2.384, 2.491, 3.014, 5.565, 2.664, 3.46, 4.272, 100.502, 2.988, 3.0, 2.336, 3.0, 3.901, 5.625, 1.798, 2.0, 5.0, 1.335, 2.153, 2.834, 3.0, 4.323, 2.233, 4.589, 2.269, 734.063, 23.829, 4810.992, 1.072
2.902, 4.532, 2.748, 2.26, 7.014, 5.485, 3.091, 2.696, 4.303, 86.769, 3.14, 3.0, 2.331, 3.0, 2.485, 3.386, 1.614, 2.0, 5.0, 2.458, 2.672, 2.54, 3.0, 4.002, 2.094, 4.917, 2.988, 980.231, 26.128, 6659.299, 1.072
4.546, 5.812, 2.766, 2.781, 3.209, 5.632, 2.947, 5.278, 3.004, 89.523, 3.033, 3.0, 2.383, 3.0, 2.675, 2.342, 1.738, 2.0, 5.0, 1.696, 3.458, 2.802, 3.0, 4.316, 2.047, 3.48, 2.288, 872.99, 24.785, 4890.151, 1.072
2.875, 4.519, 2.06, 2.554, 7.811, 5.56, 2.834, 3.753, 3.272, 85.396, 2.333, 3.0, 2.44, 3.0, 2.781, 4.06, 1.501, 2.0, 5.0, 2.257, 3.492, 2.475, 3.0, 4.659, 2.883, 4.576, 2.772, 967.468, 25.426, 6795.775, 1.072
